井号,施工日期,停止施工日期或当前日期,"施工前日产
（万方/天）","施工后日产
（万方/天）",日递减
威204H39-5,2023/1/11,2023/10/31,0.8696,1.1504,0.06%
威204H11-1,2023/1/10,2023/10/31,0.2723,0.3284,0.06%
威204H62-1,2023/1/10,2023/10/31,0.2033,1.8167,0.06%
威209,2023/1/10,2023/2/2,0.81,1.3987,0.06%
威202H14-7,2023/1/10,2023/10/31,1.7663,1.4148,0.06%
威204H36-2,2022/12/16,2023/10/31,2.5781,1.5221,0.06%
威204H36-3,2022/12/16,2023/10/31,2.4088,1.4479,0.06%
威204H36-4,2022/12/16,2023/5/31,2.3914,2.0202,0.06%
威204H40-3,2022/12/7,2023/10/31,2.7428,1.4533,0.06%
威204H35-1,2022/12/7,2023/10/31,2.4727,1.2243,0.06%
威204H36-6,2022/11/29,2023/10/31,0.8236,2.6365,0.06%
威202H18-2,2022/11/28,2023/4/22,1.5129,1.9219,0.06%
威202H18-6,2022/11/28,2023/10/30,1.6864,1.7065,0.06%
威204H6-1,2022/11/23,2023/10/31,0.4585,0.4577,0.06%
威204H6-3,2022/11/23,2023/10/31,0.3265,0.3495,0.06%
威204H6-5,2022/11/23,2023/10/31,0.341,0.3475,0.06%
威204H34-5,2022/11/21,2023/10/31,1.5463,1.2538,0.06%
威202H16-5,2022/11/21,2023/10/31,2.5311,1.3332,0.06%
威202H3-6,2022/11/15,2022/12/3,0.1691,0.534,0.06%
威204H34-7,2022/11/12,2023/10/31,0.2014,1.2183,0.06%
威204H34-8,2022/11/12,2023/4/10,0.028,1.2308,0.06%
威202H3-2,2022/11/12,2023/2/16,0.3147,0.5119,0.06%
威202H3-3,2022/11/12,2023/10/31,0.3073,0.3579,0.06%
威202H3-4,2022/11/12,2023/3/28,0.1768,0.1778,0.06%
威204H43-3,2022/11/7,2023/10/31,1.7024,1.6345,0.06%
威202H16-7,2022/11/7,2023/10/31,0.892,1.3957,0.06%
威204H12-3,2022/10/25,2023/10/31,0.5546,0.6128,0.06%
威202H14-1,2022/10/25,2023/10/31,2.6334,1.1436,0.06%
威202H14-3,2022/10/25,2023/10/31,0.637,1.5807,0.06%
威202H14-5,2022/10/25,2023/10/31,0.8711,1.9755,0.06%
威202H16-8,2022/10/21,2023/1/10,1.1354,1.5987,0.06%
威204H35-8,2022/10/20,2023/10/31,0.2056,0.5464,0.06%
威204H11-4,2022/10/7,2023/10/31,0.5728,0.7771,0.06%
威204H11-3,2022/10/7,2023/2/17,0.2633,0.9816,0.06%
威204H36-6,2022/10/6,2022/10/15,2.2897,2.4168,0.06%
威204H50-5,2022/10/6,2023/2/16,0.2247,0.4056,0.06%
威204H40-5,2022/9/22,2023/10/31,0.2273,1.1876,0.06%
威204H12-1,2022/9/22,2023/10/31,1.0812,3.0923,0.06%
威204H12-2,2022/9/22,2023/10/31,3.4951,3.8196,0.06%
威204H12-5,2022/9/22,2023/10/31,1.0813,1.7779,0.06%
威204H9-3,2022/9/19,2023/3/20,0.6041,0.6434,0.06%
威202H22-5,2022/9/19,2023/3/2,0.2172,1.9195,0.06%
威202H22-8,2022/9/19,2023/3/2,1.2574,1.3091,0.06%
威202H15-3,2022/9/19,2023/10/31,3.0848,1.1411,0.06%
威202H15-5,2022/9/19,2023/10/31,0.1747,0.6172,0.06%
威202H15-7,2022/9/19,2023/10/31,0.6561,0.9167,0.06%
威202H15-8,2022/9/19,2023/10/31,0.7901,1.0166,0.06%
威204H33-2,2022/9/6,2023/2/7,2.8751,2.4386,0.06%
威204H45-4,2022/9/3,2023/10/31,4.0999,4.6635,0.06%
威204H45-5,2022/9/3,2023/10/31,5.4422,6.0861,0.06%
威204H45-6,2022/9/3,2023/10/31,5.2561,0.6311,0.06%
威204H45-9,2022/9/3,2023/10/31,3.7584,0.9641,0.06%
威204H41-6,2022/8/29,2023/10/31,2.2952,1.4009,0.06%
威204H41-7,2022/8/29,2023/10/31,2.3326,2.116,0.06%
威204H33-3,2022/8/29,2023/10/31,1.3262,0.9564,0.06%
威204H33-4,2022/8/29,2023/10/31,1.1224,0.5686,0.06%
威204H33-5,2022/8/29,2023/10/31,0.8703,1.4715,0.06%
威204H35-5,2022/8/11,2022/9/4,0.6766,0.6766,0.06%
威204H37-1,2022/8/8,2022/8/15,5.6226,5.7245,0.06%
威204H37-2,2022/8/8,2023/1/5,3.8796,4.6279,0.06%
威204H11-2,2022/8/6,2023/10/31,0.5788,0.6034,0.06%
威204H37-4,2022/8/5,2022/8/15,4.6017,4.9696,0.06%
威204H66-4,2022/8/5,2023/7/13,0.6036,1.5227,0.06%
威204H69-4,2022/8/5,2023/1/25,1.0611,1.1655,0.06%
威202H16-4,2022/8/4,2023/10/31,2.1053,2.2376,0.06%
威202H16-6,2022/8/4,2023/10/31,0.5337,1.407,0.06%
威204H42-5,2022/8/4,2023/1/26,2.1549,2.8776,0.06%
威204H42-6,2022/8/4,2023/10/31,0.5232,1.6572,0.06%
威204H39-7,2022/8/3,2022/12/11,1.2044,1.9278,0.06%
威204H39-6,2022/8/2,2023/10/31,0.7086,0.2717,0.06%
威204H62-1,2022/7/28,2022/12/13,2.0613,2.0718,0.06%
威209,2022/7/27,2022/12/13,1.5311,1.6151,0.06%
威204H42-2,2022/7/25,2023/2/16,0.5077,0.7372,0.06%
威204H51-2,2022/7/23,2023/10/31,3.6961,1.098,0.06%
威202H16-1,2022/7/22,2023/10/31,0.1046,0.8621,0.06%
威202H16-2,2022/7/22,2023/10/31,1.6627,1.6857,0.06%
威204H42-3,2022/7/22,2023/10/31,1.6827,1.7095,0.06%
威204H39-4,2022/7/21,2023/10/9,1.6084,2.683,0.06%
威204H39-5,2022/7/21,2022/12/12,0.9983,1.222,0.06%
威204H42-4,2022/7/21,2023/10/31,1.6227,2.0981,0.06%
威202H10-2,2022/7/20,2022/7/29,0.1481,0.1486,0.06%
威202H10-3,2022/7/20,2023/10/31,0,0.7654,0.06%
威202H10-4,2022/7/20,2023/3/23,2.4408,1.7426,0.06%
威202H10-9,2022/7/20,2023/10/31,0.2572,1.6668,0.06%
威204H42-7,2022/7/20,2023/10/31,0.5426,0.9928,0.06%
威204H40-1,2022/7/19,2023/10/31,3.2788,3.6315,0.06%
威204H39-2,2022/7/19,2022/9/27,0.2025,2.7246,0.06%
威204H39-3,2022/7/19,2022/12/11,0.7157,1.4151,0.06%
威204H50-4,2022/7/19,2023/4/21,1.3759,1.4689,0.06%
威204H42-1,2022/7/18,2023/10/31,1.0337,1.4194,0.06%
威204H42-8,2022/7/18,2023/10/31,1.9681,0.4617,0.06%
威204H39-1,2022/7/16,2023/10/31,0.7791,1.4369,0.06%
威204H39-8,2022/7/15,2023/10/31,0.6253,1.2928,0.06%
威204H11-5,2022/7/8,2023/10/31,0.5135,1.0014,0.06%
威204H11-6,2022/7/6,2023/10/31,0.3423,0.4043,0.06%
威204H40-4,2022/7/5,2023/9/6,2.2148,2.7752,0.06%
威204H40-6,2022/7/5,2023/10/31,0.6702,1.19,0.06%
威204H40-8,2022/7/5,2023/10/31,3.5613,2.788,0.06%
威204H41-5,2022/7/5,2023/10/31,1.9348,1.9855,0.06%
威204H41-8,2022/7/5,2023/10/31,1.8406,0.7888,0.06%
威204H50-8,2022/7/5,2023/10/31,1.0069,1.0892,0.06%
威204H9-5,2022/7/3,2022/8/15,0.3094,0.3598,0.06%
威204H50-1,2022/6/30,2022/7/9,1.3787,1.3787,0.06%
威204H50-2,2022/6/23,2023/2/16,0.3716,1.4799,0.06%
威204H50-7,2022/6/22,2023/10/31,0.5745,1.2356,0.06%
威204H4-2,2022/6/21,2023/5/23,0.4731,0.4975,0.06%
威204H4-1,2022/6/18,2023/6/17,0.2835,0.3054,0.06%
威204H4-4,2022/6/18,2022/11/23,0.2139,0.2545,0.06%
威204H37-3,2022/6/14,2023/1/5,3.726,4.0175,0.06%
威204H51-7,2022/6/1,2023/10/31,0.3481,1.066,0.06%
威204H9-6,2022/5/29,2023/3/20,0.4426,0.777,0.06%
威202H13-3,2022/5/29,2022/5/30,0.1144,0.1144,0.06%
威202H13-8,2022/5/29,2023/10/31,2.5411,1.7031,0.06%
威202H13-1,2022/5/26,2023/10/31,0.2621,0.4599,0.06%
威202H13-7,2022/5/26,2023/4/4,1.5453,2.0978,0.06%
威204H43-2,2022/5/20,2023/10/31,1.8902,2.1342,0.06%
威208,2022/5/18,2023/10/31,1.6781,2.205,0.06%
威204H51-8,2022/5/18,2023/10/31,1.6515,2.1789,0.06%
威204H9-1,2022/5/15,2023/3/20,0.3553,0.561,0.06%
威204H9-4,2022/5/15,2022/6/28,0.2005,0.235,0.06%
威202H10-7,2022/5/15,2023/10/31,0.2048,1.3453,0.06%
威202H10-8,2022/5/15,2023/10/31,0.1195,0.5464,0.06%
威202H10-5,2022/5/14,2023/10/31,0.1081,1.8372,0.06%
威202H10-6,2022/5/14,2023/10/31,0.4162,0.7194,0.06%
威202H11-3,2022/5/14,2023/10/31,0.7728,1.0591,0.06%
威202H11-5,2022/5/12,2023/10/31,0.2177,0.3401,0.06%
威204H37-7,2022/5/11,2023/1/5,0.751,1.1804,0.06%
威204H37-8,2022/5/10,2023/1/5,0.5868,1.1097,0.06%
威204H37-6,2022/5/7,2022/5/25,0.1613,0.1487,0.06%
威202H11-4,2022/5/7,2023/5/9,0.3082,0.4946,0.06%
威204H37-5,2022/5/3,2022/6/7,1.2985,1.4355,0.06%
威202H11-6,2022/5/3,2023/5/6,0.2853,0.9803,0.06%
